Teste;250k;500k;750k;1000k;Twitter - 1;Twitter - 2
1;00:024,544;00:058,425;00:149,099;00:35,538
2;00:022,815;00:055,524;00:25,092;00:36,432
3;00:024,755;00:10,431;00:152,649;00:38,019
4;00:024,360;00:13,410;00:153,765;00:38,305
5;00:022,528;00:058,785;00:156,915;00:35,695

