Teste;250k;500k;750k;1000k;Twitter - 1;Twitter - 2
00:13:12,794;00:24:19,298;00:37:26,895;00:52:13,312;00:1634,325;00:1245,602
00:13:20,735;00:24:8,237;00:38:8,447;00:51:54,795;00:1729,133;00:954,530
00:17:12,693;00:27:49,400;00:38:10,798;00:63:50,933;00:1620,260;00:1510,763
00:13:12,063;00:27:42,219;00:37:55,531;00:64:37,231;00:1641,363;00:1456,901
00:13:12,884;00:23:35,698;00:46:0,205;00:64:32,710;00:1629,380;00:1513,480
